2,12/27/2017 10:23:58 PM,12/27/2017 10:24:09 PM,1,0.09,2,N,186,90,1,52,0,0.5,11.71,5.76,0.3,70.27
1,02/01/2017 08:49:44 AM,02/01/2017 08:54:36 AM,1,0.6,1,N,244,244,1,5.5,0,0.5,1,0,0.3,7.3
2,09/14/2017 05:17:58 PM,09/14/2017 06:07:32 PM,2,11.01,1,N,234,243,1,37.5,1,0.5,2.3,0,0.3,41.6
1,01/19/2017 11:14:24 PM,01/19/2017 11:22:46 PM,1,4.4,1,N,132,219,2,14,0.5,0.5,0,0,0.3,15.3
1,12/10/2017 06:58:24 PM,12/10/2017 07:28:28 PM,1,2.9,1,N,140,186,2,18.5,0,0.5,0,0,0.3,19.3
1,01/25/2017 01:31:57 PM,01/25/2017 01:32:20 PM,2,0,5,N,138,138,1,45,0,0,9.05,0,0.3,54.35
2,12/03/2017 01:05:03 AM,12/03/2017 01:09:54 AM,2,0.63,1,N,230,48,1,5,0.5,0.5,1.26,0,0.3,7.56
1,04/16/2017 07:20:00 PM,04/16/2017 07:40:21 PM,4,3.5,1,N,264,264,2,15,0,0.5,0,0,0.3,15.8
1,04/05/2017 11:09:40 AM,04/05/2017 11:30:40 AM,1,1.9,1,N,90,163,2,13.5,0,0.5,0,0,0.3,14.3
1,12/16/2017 04:04:37 PM,12/16/2017 04:08:47 PM,1,0.7,1,N,166,166,1,5,0,0.5,1.45,0,0.3,7.25
1,12/29/2017 02:03:29 PM,12/29/2017 02:23:11 PM,4,1.2,1,N,142,48,1,12.5,0,0.5,5.55,0,0.3,18.85
1,02/15/2017 05:53:33 PM,02/15/2017 06:04:42 PM,1,1.3,1,N,237,43,2,9,1,0.5,0,0,0.3,10.8
1,10/28/2017 08:02:58 AM,10/28/2017 08:12:54 AM,1,1.4,1,N,90,48,1,8.5,0,0.5,1.4,0,0.3,10.7
2,11/30/2017 10:21:00 PM,11/30/2017 10:27:57 PM,1,1.93,1,N,246,143,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,07/10/2017 11:12:27 AM,07/10/2017 11:38:21 AM,2,8.34,1,N,237,243,2,28.5,0,0.5,0,0,0.3,29.3
2,05/10/2017 06:19:51 PM,05/10/2017 06:24:53 PM,1,0.73,1,N,263,236,1,5,1,0.5,1.36,0,0.3,8.16
1,10/19/2017 09:30:51 PM,10/19/2017 09:40:28 PM,1,1.3,1,N,90,249,1,8,0.5,0.5,1.85,0,0.3,11.15
1,08/22/2017 01:40:12 PM,08/22/2017 02:18:31 PM,1,17.9,3,N,163,1,1,68.5,0,0,16.9,15.9,0.3,101.6
2,02/04/2017 09:35:51 PM,02/04/2017 10:04:15 PM,1,2.72,1,N,232,170,1,18,0.5,0.5,3.86,0,0.3,23.16
1,06/12/2017 04:03:10 PM,06/12/2017 04:18:04 PM,1,1.9,1,N,229,186,1,11,1,0.5,2.55,0,0.3,15.35
2,10/26/2017 09:03:13 AM,10/26/2017 09:11:14 AM,1,1.04,1,N,237,161,1,7,0,0.5,1.56,0,0.3,9.36
1,07/07/2017 03:51:59 PM,07/07/2017 04:09:34 PM,1,1.5,1,N,234,230,1,11.5,0,0.5,1,0,0.3,13.3
2,05/09/2017 09:15:23 AM,05/09/2017 09:39:55 AM,2,1.96,1,N,170,163,2,15.5,0,0.5,0,0,0.3,16.3
1,01/30/2017 02:54:42 PM,01/30/2017 02:56:06 PM,1,0.4,1,N,68,68,1,3.5,0,0.5,0.85,0,0.3,5.15
